PDF Name,Job role,skills,Education
18334783.pdf,HR DIRECTOR/ADMINISTRATOR, Supervising Construction Process Documentation Payroll Employee relations Contracts Administration Human resources Operations Customer service Finance Budget Design Reports Communication Invoices Sales Training Quality assurance Expenses,BA
18557164.pdf,HR BUSINESS PARTNER II, Safety Microsoft powerpoint Benchmarking Sharepoint Scheduling Microsoft word Word Microsoft excel Administration Human resources Operations Customer service Employee engagement Design Marketing Communication Sales Acquisition Supervisor Excel Banking Microsoft office Training Fulfillment Improvement Retail Access Retention Compliance Recruiting Powerpoint Swift Engagement Mortgage Analysis Analytical,BSBM
15375009.pdf,HR MANAGER, Safety Proposal Policies Requests Process Documentation Payroll Investigations Employee relations Strategy Recruitment Administration Human resources Jose Customer service System Reports Specifications Standard operating procedures Communication Health Vendor management Supervisor Filing Law enforcement Training Presentation Process improvements Improvement Sourcing Compliance Recruiting Database Workflows Project management Business management Human resource Analysis,Bachelor of Science   :  Business Management MBA MBA
11698189.pdf,HR EMPLOYEE RELATIONS SPECIALIST, Writing Policies Requests Inventory Process Payroll Investigations Word Hospitality Administration Operations System Marketing Reports Networking Fundraising Advertising Excel Merchandising Training Research Powerpoint Payments Database Analyze Accounting,Bachelor of Science   :  Network Information & Technology Administration MBA   :  Management
11480899.pdf,HR MANAGER, Schedules Safety Tax Policies Certification Legal Purchase orders Process Payroll Scheduling Administrative support Recruitment Workflow Administration Operations Strategic plans System Reports Plan Communication Purchasing Advertising Procurement Supervisor Continuous improvement Reporting Training Kpi Improvement Compliance Recruiting Retention English Human resource Analysis Regulatory Staffing Investigation Analytical Iso,National Institute of Development Administration (NIDA)  Master of Public Administration Bachelor of Education
12786012.pdf,HR COORDINATOR, Safety Schedules Benchmarking Policies Hris Process Payroll Employee relations Recruitment Website Microsoft excel Administration System Coaching Reports Investigate Communication Sales Security Recruit Excel Training Research Process improvements Retention Recruiting Compliance Regulations Staffing,MBA B.A
14256329.pdf,HR SERVICES REPRESENTATIVE, Content Requests Process Microsoft word Documentation Payroll Recruitment Word Contracts Queries System Updates Communication Sales Security Filing Excel Presentation Retail Recruiting,2019BSc Jamaica
17812897.pdf,HR MANAGER, Safety Policies Distribution Hris Legal Process Payroll Employee relations Strategy Word Recruitment Administration Contracts Human resources Operations Coaching Startup Strategic direction Visio Health Leadership development Recruit Reporting Excel Continuous improvement On-boarding Industry trends Fulfillment Training Improvement Access Retention Compliance Powerpoint Recruiting Project management Regulations Human resource Analysis Staffing,Bachelor of Business Administration
11763983.pdf,HR GENERALIST, Writing Policies Hris Requests Process Payroll Documentation Investigations Word Recruitment Administration Schedule System Reports Plan Investigate Communication Recruit Excel Training Improvement Peoplesoft Erp Compliance Powerpoint Engagement Performance improvement,HR  MBA Bachelors Degree
23510685.pdf,GLOBAL HR MANAGER, Data analysis Hris Budget management Legal Process German Microsoft word Strategy Recruitment Word Business strategy Technical knowledge Administration Contracts Human resources Finance System Budget Reports Plan Consulting Adobe Visio Sales Leadership development Spanish Excel Economics Training Sap Technical Compliance Recruiting Database Engagement Analysis Staffing,Master of Industrial and Labor Relations BBA
26289308.pdf,"SENIOR HR MANAGER, HR BUSINESS PARTNER", Safety Tax Benchmarking Construction Policies Certification Process Payroll Documentation Cost reduction Employee relations Strategy Recruitment Administration Coaching Marketing Plan Communication Training Testing Rfp Vendors Compliance Database Partnership Green Regulatory,M.B.A B.B.A B.B.A   :  Marketing
26780935.pdf,HR COORDINATOR, Policies Hris Process Payroll French Troubleshooting Travel C System Email Reports Spreadsheets Updates Intranet Communication Sales Spanish Reporting Training Auditing Vendors Compliance English,Bachelor of Arts   :  Business Translation/French
24402267.pdf,DESIGNATION: HR ASSISTANT, Audit Policies Hris Process Documentation Payroll Scheduling Employee relations Word Recruitment Administration Contracts Schedule System Design Budget Reports Specifications Spanish Excel Ms excel Training Testing Sourcing Compliance Payments English Mis Software development life cycle Certification Iso,MBA
30163002.pdf,HR GENERALIST, Requests Psychology Process Reconciliation Payroll Employee relations Business development System Email Protocols Reports Spreadsheets Presentations Sales Filing Excel Presentation Process improvements Vendors Correspondence Access Technical Database Powerpoint Waitress Deposits,BACHELOR OF ARTS PSYCHOLOGY
23914451.pdf,HR GENERALIST, Safety Policies Hris Inventory Process Documentation Scheduling Investigations Human resources Operations Customer service System Budget Coaching Reports Protocols Marketing Updates Sales Controls Health Supervisor Time management Responses Recruit Merchandising Training Presentation Ordering Vendors Retail Technical Recruiting Compliance Analyze Project management Staffing,Bachelor Of Science   :  Wildlife and Fisheries Science
20806155.pdf,HR SPECIALIST (INFORMATION SYSTEMS), Statistical analysis Schedules Installation Construction Policies Requests User experience Process Microsoft sharepoint Process improvement Sharepoint Troubleshooting Recruitment Word Hardware Website Reconcile Microsoft excel Quality control Administration Human resources Conversion Operations Architecture System Schedule Reports Plan Spreadsheets Intranet Communication Coding Security Publishing Supervisor Excel Business intelligence Training Presentation Research Process improvements Improvement Automation Access Sap Technical Compliance Database Project management Regulations Analysis Regulatory Staffing Analytical,Miller-Motte College  Associate Degree 04/2015 Miller-Motte College  Wilmington  NC Master's   :  Human Services Master's Degree
28808263.pdf,HR PAYROLL/ ACCOUNTING REPRESENTATIVE, Construction Policies Requests Inventory Payroll Beverage Customer service Finance Transactions Marketing Reports Spreadsheets Communication Networking Sales Coding Invoices Security Supervisor Time management Reporting Excel Accounting Banking Training P Presentation Variances Ordering Retail Payments Analyze Regulations Expenses Workflow Deposits Analytical Billing,Blue River Community College  Bachelors
20925036.pdf,Summary, Policies Requests Process Reconciliation Scheduling Payroll Documentation Strategy Word Recruitment Website Administration Queries System Employee engagement Reports Specifications Presentations Communication Sales Publishing Acquisition Procurement Reporting Excel Banking Microsoft office Training Sourcing Technical Sap Retention Powerpoint Payments Recruiting Mis Engagement Analysis Mining Social media Staffing Iso,Master of Science   :  Human Resource Management Master's Degree Master of Science MBA   :  Human Resource Bachelor of Science   :  Computer Science
20993320.pdf,HR COORDINATOR, Audit Content Policies Business process R Legal Process Documentation Payroll Administration Human resources Operations C Design Reports Consulting Communication Sales Merchandising Training P Retail Retention Regulations,Master of Arts   :   Organizational Leadership ConsultingBachelor of Science   :   Apparel and Merchandising
29091445.pdf,HR ASSOCIATE MOBILIZATION COORDINATOR, Writing Tax Policies Process Payroll Employee relations Recruitment Word Administration Travel Human resources Operations System Email Transactions Plan Invoices Spanish Excel Training Hotel Vendors Correspondence Sap Powerpoint Database Payments English International Mvp,A.A B.A   :  Business Mgt
23155093.pdf,HR MANAGER, Audit Microsoft powerpoint Policies Documentation French Investigations Beverage Word Microsoft excel Administration Operations Microsoft visio Customer service Coaching Email Plan Transactions Reports Communication Visio Sales Security Controls Spanish Excel Training Improvement Retail Correspondence Access Compliance Powerpoint Researching Project management Administrative support Analytical,BAS St. Petersburg College St. Petersburg College Arthur Community College  Associate of Arts Associate of Arts
28640735.pdf,DIRECTOR OF HR, Construction Policies Legal Payroll Employee relations Recruitment Administration Contracts Human resources Operations Finance System Budget Coaching Reports Transactions Employee engagement Talent acquisition Alliances Invoices Health Acquisition Training Research Vendors Healthcare Analyze Engagement Windows Analytics Billing,BS
22323967.pdf,"HR SPECIALIST, US HR OPERATIONS", Audit Branding Metrics Content Distribution Inventory Process Sharepoint Video Trade shows Recruitment Indesign Website Human resources Operations Visual System Design Marketing Updates Presentations Communication Brand Sales Networking Adobe Photoshop Advertising Reporting Public relations Training Illustrator Rfp Vendors Improvement Retail Asset management,Master of Arts   :  Corporate Communication & Public Relations Bachelor of Arts   :  Relational Communication
27523575.pdf,HR ASSOCIATE, Policies Requests Psychology Process Contracts Human resources Customer service Design Transactions Reports Spreadsheets Communication Brand Sales Security Time management Recruit Training Correspondence Retention Recruiting Payments Analytical,Bachelor of Arts      Culture and Media Studies Dean's List Dean's Scholarship Minor in Psychology Dean's List
28419173.pdf,HR ASSISTANT, Tax Content Process Travel arrangements Microsoft word Documentation Scheduling Troubleshooting Recruitment Word Reconcile Website Contracts Travel Finance Schedule System Budget Design Protocols Plan Reports Quickbooks Marketing Spreadsheets Communication Invoices Coding Sales Purchasing Doit Filing Excel Accounting Pdf Training Access database Research Hotel Vendors Correspondence Access Technical Powerpoint Database Help desk Electrical Analytical Billing,BS Member of Society for Human Resource Management (SHRM)
27847081.pdf,HR SPECIALIST/ HORIZONTAL ENGINEER, Writing Policies Data analysis Psychology Inventory Process Payroll Administrative support Employee relations Recruitment Word Microsoft excel Operations Customer service System Budget Coaching Email Reports Spreadsheets Presentations Communication Purchasing Prospecting Supervisor Time management Filing Reporting Excel Training Testing Improvement Correspondence Sap Compliance Recruiting Powerpoint Database Analyze Human resource Analytics Analysis Certification Staffing,Bachelor of Science   :  Business Administrattion
30646367.pdf,HR ASSISTANT/PAYROLL, Audit Safety Tax Policies Distribution Hris Process Microsoft word Payroll Word Administration Human resources System Quickbooks Reports Spreadsheets Invoices Sales Health Reporting Excel Training Deposits Peoplesoft Sap Compliance Powerpoint Payments Analyze Certification Investigation Billing,B.B.A Baker College
19717385.pdf,HR INTERN, Psychology Legal Inventory Process Word Business development Transactions Reports Communication Invoices Sales Excel Training Research Testing Powerpoint Expenses Analysis Higher education International Billing,California School of Professional Psychology  Master of Arts     Master of Science Bachelor of Arts      Mass Communication
27490876.pdf,HR COORDINATOR, Partnerships Hospital Event planning Hris Process Investigations Regulatory Employee relations Recruitment Administration Human resources Budget Reports Updates Counsel Presentations Reporting Training Testing Licensing Healthcare Compliance Recruiting Database Regulations Human resource Certification Staffing Investigation,MBA   :  Human Resources Management
29564653.pdf,HR ADMINISTRATOR, Content Requests Process Sharepoint Pivot Indesign Human resources Visual System Budget Design Reports Intranet Communication Adobe Photoshop Excel Ms excel Training Illustrator Testing Peoplesoft Correspondence Sap Technical Recruiting Database Payments Pivot tables Administrative support Staffing Usability Billing,Bachelor of Fine Arts   :  Visual Communication University Schaumburg  IL Bachelor of Fine Arts in Visual Communication
25150191.pdf,HR CONTACT CENTER SPECIALIST, Audit Metrics Policies Requests Data entry Process Payroll Recruitment Administration Human resources Operations Customer service Finance Schedule Budget Transactions Communication Sales Filing Training Staffing Correspondence Compliance Retention Recruiting Database Regulations Regulatory International Admissions,MBA   :  Business Finance Bachelor of Arts   :  Communication concentration Mass Communication
20417897.pdf,EXECUTIVE ASSISTANT HR, Audit Schedules Safety Tax Construction Policies International Process Payroll Documentation Investigations Word Oracle Contracts Travel Administration Human resources Quality control Transportation Finance Architecture System Budget Reports Six sigma Purchasing Excel Engineering Training Drafting Research Testing Correspondence Access Sap Recruiting Database Powerpoint Green Human resource Lean Administrative support Staffing Billing,Centenary College  Master of Business Administration Bachelor of Science   :  Business Administration
25724495.pdf,REGIONAL HR MANAGER, Writing Policies Hris Requests Legal Process Payroll Investigations Negotiation Employee relations Recruitment Operations Queries Reports Plan Pip Forecasting Communication Health Excel Banking Electrical engineering Engineering Training Presentation Improvement Retail Sourcing Recruiting Powerpoint Electrical Mis Human resource Analysis Staffing Investigation,Human Resource  MBA Bachelor of Science
19867922.pdf,HR GENERALIST, Audit Schedules Metrics Policies Data analysis Call center Hris Process Microsoft office suite Documentation Scheduling Payroll Employee relations Administration Travel Human resources Schedule Employee engagement Email Reports Updates Presentations Security Supervisor Filing Reporting Training Research Ordering Correspondence Access Technical Compliance Database Engagement Analysis Administrative support Staffing,MBA Bachelor of Arts   :  Business Administration
29297973.pdf,HR REPRESENTATIVE, Safety Schedules Policies Scheduling Payroll Repairs Employee relations Recruitment Human resources System Coaching Reports Cpr Consulting Communication Health Supervisor Training Quality assurance Recruiting Regulations Staffing,Masters of Art Bachelors of Art   Wisconsin Lutheran College
24508725.pdf,FIELD HR ASSOCIATE, Tax Policies Analyze data Hris Requests Legal Process Scheduling Documentation Investigations Payroll Employee relations Recruitment Word Administration Travel Human resources Operations System Budget Email Plan Outreach Counsel Presentations Communication Visio Time management Filing Reporting Excel Training Presentation Improvement Peoplesoft Recruiting Retention Powerpoint Compliance Analyze Engagement Regulations Analysis Certification Investigation Billing,Bachelor's Degree in Human Resources  Business  Communications  or related discipline required. In addition to the two (2) years Minimum Experience  a high school degree or GED and additional four (4) years HR Generalist  employee relations or recruiting (to include FXG/FXSP Field HR Associate) will be considered equivalent to a Bachelor's Degree.  Minimum Experience  * Two (2) years professional HR experience in HR Generalist  employee relations or recruiting (to include FXG/FXSP Field HR Associate) required or related area.  Required Skills  Abilities and / or Licensure  * Verbal and written communication skills necessary to explain complex and/or confidential information and communicate with all levels of management.  * Time management and organizational skills necessary to manage multiple projects  appropriately prioritize workload  plan for resources to meet deadlines and goals  and work independently in responding to day-to-day functional needs.  * Presentation skills necessary to facilitate training and/or deliver informational sessions to groups and/or individuals.  * Demonstrated ability to interact effectively with employees.  * Ability to anticipate and identify problems and use sound judgment and fact-based analysis to develop effective and efficient solutions.  * Software skills  including use of Microsoft Office software and web-based applications.  * Ability to work day  evening and overnight hours as business needs dictate.  * Professional in Human Resources (PHR) Senior Professional in Human Resources (SPHR) certification preferred.  % of Travel for the Position Master of Science   :  Human Resource Management Human Resource Management Bachelor of Arts   :  Human Resource Management B.B.A   :  Human Resource Management
25676643.pdf,HR SPECIALIST, Partnerships Audit Writing Branding Metrics Policies Distribution Legal Process Marketing materials Word Recruitment Contracts Administration Human resources Schedule Design Coaching Reports Marketing Plan Outreach Standard operating procedures Presentations Brand Security Journalism Leadership development Recruit Reporting Excel Training Facebook Presentation Research Testing Access Technical Compliance Retention Powerpoint Recruiting Database Researching Regulations Analysis Acquisitions Broadcast Staffing Social media Analytical Twitter,Bachelor of Arts (BA) Masters of Business Administration   :  Human Resources Management
26048718.pdf,SR. HR CONSULTANT, Statistical analysis Audit Safety Hospital Schedules Writing Policies Hris Requests Legal Real-time Documentation Employee relations Strategy Word Recruitment Administration Travel Human resources Operations Customer service Finance System Budget Transactions Reports Statistics Plan Design Cpr Coaching Marketing Spreadsheets Alliances Presentations Communication Networking Forecasting Sales Controls Health Acquisition Supervisor Rfps Filing Reporting Excel Internal controls Training Presentation Research Logistics Rfp Improvement Peoplesoft Access Healthcare Retention Compliance Powerpoint Partnership Researching Regulations Analysis Acquisitions Performance improvement Analytical,Leadership Finance  Doctorate of Business Administration Master of Business Administration Bachelor of Science   :   Political Science Business Management
21830565.pdf,HR CONSULTANT, Metrics Policies Distribution International Legal Process Documentation Payroll Investigations Change management Employee relations Oracle Contracts Operations Litigation Design Coaching Reports Startup Updates Counsel Acquisition Matrix Training Improvement Vendors Automation Technical Retention Recruiting Compliance Regulations Analysis Staffing,B.S. B.S.  Pharmacology
21265194.pdf,HR PARTNER, Sports Retention Recruiting Policies Talent management Business cases Design Coaching Matrix Investigations Process Psychology Process improvements Training Presentation Employee relations Strategy Presentations,Masters of Arts Bachelor of Science ADA
24184357.pdf,HR DIRECTOR, Writing Policies International Hris Requests Legal Process Payroll Employee relations Strategy Word Recruitment Administration Finance Schedule System Budget Transactions Quickbooks Plan Reports Statistics Cpr Marketing Analytical skills Outreach Updates Communication Networking Health Advertising Leadership development Procurement Excel Drafting Training Microsoft office Testing Peoplesoft Access Sourcing Technical Recruiting Retention Powerpoint Database Editing Compliance Researching Analyze Business management Regulations Human resource Analysis Staffing Analytical Accounting,Benedict College  BS
28828844.pdf,HR GENERALIST, Safety Policies Legal Process Process improvement Payroll Investigations Employee relations Word Human resources Queries System Coaching Reports Talent acquisition Communication Acquisition Spanish Excel Training Improvement Recruiting Retention Powerpoint Compliance Engagement Regulations Staffing,Associate of Arts BOROUGH OF MANHATTAN COMMUNITY COLLEGE
19336728.pdf,HR ASSISTANT INTERN, Retail Microsoft excel Administrative support Writing Documentation Powerpoint Certification Assembly Requests Excel Process Training Repairs Investigation Word Communication,Associate Degree
26202430.pdf,HR CONSULTANT, Schedules Hris Requests Process Reconciliation Payroll Business analysis Troubleshooting Word Administration Human resources Finance System Reports Investigate Communication Visio Security Controls Spanish Excel Training Auditing Testing Vendors Improvement Quality assurance Erp Sap Access Compliance English Analyze Analytics Analysis Workflow Analytical,BBA
28175164.pdf,REGIONAL HR BUSINESS PARTNER, Policies Hris Legal Process Microsoft office suite Payroll Investigations Regulatory Recruitment Administration Contracts Human resources Operations System Budget Coaching Plan Brand Immigration Spanish Training Fulfillment Peoplesoft Technical Recruiting Compliance English Engagement Expenses Analysis Workflow Staffing,Master of Science   :  Leadership/Management Bachelor of Arts   :  Human Services
25824789.pdf,HR MANAGER, Safety Writing Schedules Policies Hris Legal Sharepoint Scheduling Employee relations Indesign Administration Human resources System Design Coaching Plan Teaching Security Health Leadership development Spanish Training Peoplesoft Compliance English Project management International,Bachelor of Science (BS)
23408537.pdf,HR ASSISTANT III, Audit Writing Metrics Policies Distribution Billing Hris Requests Legal Purchase orders Process Reconciliation Documentation Payroll Investigations Scheduling Journal entries Word Recruitment Biology Administration Contracts Human resources C Transportation Finance Schedule System Coaching Quickbooks Transactions Reports Startup Invoices Coding Purchasing Supervisor Filing Reporting Excel Continuous improvement Budgeting Training Auditing Improvement Correspondence Access Sap Technical Recruiting Retention Powerpoint Compliance Analyze Project management Windows Os Regulations Acquisitions Regulatory Staffing Analytical Accounting,Associate of Science
59962788.pdf,HR EXECUTIVE, Hospital Safety C++ Metrics Benchmarking Policies Process Payroll Investigations Strategy Recruitment Cola Administration Sql C Visual System Design Specifications Standard operating procedures Teaching Communication Health Vendor management Reporting Therapeutic Engineering Training Microsoft office Logistics Java Kpi Healthcare Sap Compliance Recruiting Database English Project management Analysis Certification International,MBA   :  Human Resource B.E
86184722.pdf,HR GENERALIST, Safety Schedules Policies Hris Requests Data entry Legal Inventory Process Microsoft office suite Reconciliation Payroll Employee relations Recruitment Oracle Administration Travel Human resources Customer service System Budget Email Plan Counsel Communication Security Health Schematics Filing Reporting Training Research Auditing Ibm Correspondence Access Sap Recruiting Compliance Database Engagement Regulations Expenses Acquisitions Staffing,Master of Business Administration B.S
39970711.pdf,HR & SAFETY MANAGER, Risk management Safety Policies Distribution Talent management Hris Process Documentation Scheduling Recruitment Administration Human resources Transportation Operations System Plan Communication Health Supervisor Recruit On-boarding Training Staffing Improvement Access Healthcare Retention Analysis International,Master of Science (MS) Bachelor of Science (BS)
46258701.pdf,HR COORDINATOR, Content Policies Microsoft sharepoint Sharepoint Scheduling Warehouse Orange Website Administration Human resources System Reports Cpr Recruit Reporting Filing Excel Access database Ibm Access Sourcing Sap Recruiting Retention Database Compliance Technical Administrative support Technical skills,BA
47470864.pdf,GENERAL HR ASSISTANT/OFFICE ASSISTANT, Schedules Tax Call center Requests Inventory Process Documentation Payroll Troubleshooting Employee relations Administration Human resources Operations Schedule System Coaching Reports Spreadsheets Specifications Communication Filing Responses Recruit Banking Training Presentation Research Correspondence Compliance Workflows Database Interactive Staffing,Associates Degree Business Administration/Human Resources
34740556.pdf,SENIOR HR BUSINESS PARTNER, Safety Writing Policies Call center Legal Employee relations Word Recruitment Administration Human resources Transportation Queries Coaching Reports Startup Security Supervisor Recruit Excel Training Peoplesoft Access Compliance Recruiting Retention Powerpoint Regulations Staffing,Bachelor of Science (BS)
80162314.pdf,HR PROFESSIONAL, Metrics Policies Process Payroll Troubleshooting Employee relations Strategy Recruitment Administration System Budget Transactions Coaching Counsel Communication Sales Health Recruit Reporting Banking Training Research Retention Recruiting Database Mortgage,Master of Art   :  Human Resources Management Bachelor of Arts   :  Art-(HR & Communication )
41523474.pdf,HR EXECUTIVE, Sales Word Writing Travel Policies Operations Finance Schedule Excel Banking Expenses Analysis Training Research Recruitment Communication,MBA   :  Management
39081840.pdf,HR COORDINATOR, Microsoft powerpoint Content Policies Hris Requests Legal Process Payroll Website Administration System Plan Technical issues Communication Health Supervisor Reporting Excel On-boarding Training Presentation Testing Vendors Cms Access Technical Compliance Powerpoint English Staffing,Bachelor of Science   :  Management Associates of Arts and Science Degree
